CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
LA-505,Monroe/Northeast Louisiana CoC,122,23,9,17,22,19,23,9,59,62,0,0,1,121,1,44,75,0,2,0,1,48,57,0,105,17,2023
LA-506,Slidell/Southeast Louisiana CoC,182,15,14,49,45,24,26,9,69,112,0,1,0,177,5,88,87,1,0,0,6,28,13,0,41,141,2023
LA-507,Alexandria/Central Louisiana CoC,122,15,3,15,39,24,22,4,44,76,2,0,0,119,3,45,72,1,0,0,4,9,30,0,39,83,2023
LA-509,Louisiana Balance of State CoC,678,89,60,119,142,120,103,45,260,412,1,5,0,662,16,273,385,1,4,1,14,247,53,0,300,378,2023
MA-500,Boston CoC,5202,1940,361,938,852,498,406,207,2592,2587,10,13,0,3408,1794,1607,3206,44,66,44,235,4738,260,35,5033,169,2023
MA-502,Lynn CoC,1094,605,68,191,156,56,13,5,613,477,3,0,1,578,516,629,404,10,0,19,32,1073,0,0,1073,21,2023
MA-503,Cape Cod Islands CoC,427,97,25,73,60,49,77,46,202,224,1,0,0,376,51,254,148,2,2,1,20,295,100,0,395,32,2023
MA-504,Springfield/Hampden County CoC,2683,1272,229,471,374,184,109,44,1417,1257,9,0,0,1257,1426,1821,796,7,10,8,41,2456,104,8,2568,115,2023
MA-505,New Bedford CoC,373,90,28,108,52,43,32,20,187,186,0,0,0,285,88,200,125,1,2,0,45,227,79,0,306,67,2023
MA-506,Worcester City & County CoC,1607,550,112,332,310,153,112,38,719,843,43,2,0,1001,606,892,574,12,12,7,110,1213,244,13,1470,137,2023
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",622,115,52,99,131,93,77,55,256,360,3,3,0,485,137,502,91,2,2,0,25,423,109,6,538,84,2023
MA-509,Cambridge CoC,474,69,36,72,77,97,84,39,192,277,3,2,0,361,113,256,197,8,3,2,8,334,66,0,400,74,2023
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",1472,578,88,316,219,110,117,44,762,707,1,2,0,1176,296,490,923,11,9,5,34,1412,0,9,1421,51,2023
MA-515,Fall River CoC,433,154,18,88,75,54,37,7,206,226,0,1,0,333,100,258,154,2,0,1,18,318,19,0,337,96,2023
